contract_id,title,supplier,value,value_note,date,sites,catchments,source,confidence,notes
micro_kier_19.9m,Kier ECI — 6 wastewater treatment sites (WINEP capacity),Kier Integrated Services Limited,19900000,Total for all 6 sites. No per-site breakdown published.,2025-12,Chickenhall; Fullerton; Leeds; Newnham Valley; Paddock Wood; Sellindge,ITCHEN; MEDWAY; STOUR; TEST,https://www.kier.co.uk/news-and-events/newsroom/press-releases/kier-secures-a-further-444m-of-eci-contracts-with-southern-water-to-deliver-amp8-wastewater-upgrades/,high,ECI design phase. £19.9m for early-stage design and development. Construction cost will be additional.
micro_kier_24.5m,Kier ECI — 6 wastewater treatment sites (ammonia/phosphorus),Kier Integrated Services Limited,24500000,Total for all 6 sites. No per-site breakdown published.,2025-12,Dambridge; Felbridge; Staplehurst; Ticehurst; Tonbridge; Ulcombe,BEULT; MEDWAY; ROTHER; STOUR,https://www.theconstructionindex.co.uk/news/view/kier-lands-44m-southern-water-contracts,high,"ECI design phase for ammonia, phosphorus, BOD removal upgrades."
micro_kier_15.8m,Kier ECI — Portswood nitrogen + Thornham UV disinfection,Kier Integrated Services Limited,15800000,Total for both sites. No split published.,2025-08,Portswood; Thornham,CHICHESTER HARBOUR; ITCHEN,https://www.newcivilengineer.com/latest/kier-wins-15-8m-southern-water-contract-to-design-nitrogen-and-uv-upgrades-13-08-2025/,high,Portswood: nitrogen reduction to 9mg/l by 2030. Thornham: UV for shellfish water quality by 2027.
micro_costain_65m,Costain/MWH (CMDP) — Testwood and Burham clean water,COSTAIN LIMITED,65000000,Total for both sites.,2024-06,Testwood; Burham,MEDWAY; TEST,https://www.costain.com/media/press-releases/2024/cmdp-joint-venture-between-costain-and-mwh-treatment-awarded-65m-of-clean-water-projects-by-southern-water/,high,Testwood: River Test abstraction refurbishment. Burham: low lift pumping station and GAC filters.
micro_costain_horsham,Costain/MWH (CMDP) — Horsham New WWTW upgrade,COSTAIN LIMITED,31000000,Confirmed single-site value.,2022-09,Horsham,ARUN,https://www.costain.com/insights/2024/upgrade-of-horsham-new-wastewater-treatment-works/,high,Phosphate tightened 1mg/l to 0.25mg/l. Effluent to River Arun. Completed Spring 2025.
micro_costain_lingfield,Costain/MWH (CMDP) — Lingfield WWTW upgrade,COSTAIN LIMITED,13800000,Confirmed single-site value.,2023-08,Lingfield,EDEN,https://smartwatermagazine.com/news/southern-water/southern-water-invests-ps138m-upgrade-lingfield-wastewater-plant-and-reduce,high,"Phosphorus cut 85%, capacity up 83→127 l/s. Effluent to Eden Brook. Completed 2025."
micro_costain_hailsham,Costain/MWH (CMDP) — Hailsham North & South WWTW,COSTAIN LIMITED,30000000,Total for both sites. No split published.,2021-12,Hailsham North; Hailsham South,CUCKMERE,https://waterprojectsonline.com/case-studies/hailsham-south-2022/,high,Phosphorus to 0.08-0.1mg/l (lowest UK at time of delivery).
micro_costain_kent_coast,Costain/Black&Veatch — Weatherlees/Margate/Broadstairs scheme,COSTAIN LIMITED,70000000,Total for unified scheme. Not per-town.,2017-01,Weatherlees; Margate; Broadstairs,NORTH SEA,https://www.edie.net/southern-water-scheme-to-clean-up-kent-coast-nears-completion/,high,"Historical. 11km twin pipeline, new treatment at Weatherlees, UV. Completed ~2022."
micro_costain_winep,Costain/MWH (CMDP) — WINEP AMP7 programme (37 sites),COSTAIN LIMITED,,No programme value published. Individual site values not disclosed.,2023-01,Cherry Gardens; Scaynes Hill,OUSE,https://waterprojectsonline.com/case-studies/southern-water-winep-2023/,medium,Two named sites from a 37-site WINEP programme. Cherry Gardens: 1m3 ferric dosing. Scaynes Hill: 7-lane deep bed sand filter. Catchment corrected to OUSE.
micro_costain_gravesend,Costain/MWH + Coleman — Gravesend WWTW civil engineering,COSTAIN LIMITED,2400000,Confirmed. Coleman subcontract value.,2024-11,Gravesend,THAMES,https://colemanconstructiongroup.co.uk/projects/gravesend-wtw-civil-engineering/,high,Stormwater storage capacity increase. Completed March 2025.
micro_costain_eastney,Costain/MWH/UU (4Delivery) — Eastney pumping station,COSTAIN LIMITED,,Part of wider Portsmouth upgrade programme. Source mentions £30m for Portsmouth overall. No Eastney-specific figure published.,2009-01,Eastney; Fort Cumberland,PORTSMOUTH HARBOUR,https://www.constructionnews.co.uk/sections/news/helping-portsmouth-go-with-the-outflow-20-05-2009/,medium,Historical (2009). Eastney pumping station + Fort Cumberland storm tanks. Part of wider Portsmouth scheme. Value is estimate.
